PID	PLOTKEY	TREE_ID	TREE_SPECIES	TREE_SPECIES_LUMP	code	DIAM_CLASS_4_11	DIAM_CLASS_12_23	DIAM_CLASS_24_35	DIAM_CLASS_36_	TOTAL	height	genus	species	var_subsp	lifeform	source	table	code_match	name	num_matches
4	65A12	7	B	B	B	7	0	2	0	0	35	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
4	65A12	5	Df	D	D	3	4	0	0	0	60	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
4	65A12	8	H	H	H	11	0	0	0	0	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
4	65A12	6	M	M	M	50	6	0	0	0	35	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
4	65A12	10	M2	M2	M2	2	0	0	0	0	45	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
4	65A12	9	V	V	V	3	0	0	0	0	35	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
5	38A51	12	W1	W1	W1	4	5	4	0	13	105	abies	concolor		t	3	TREE_TALLY	matched	Abies concolor 	1
5	38A51	11	R1	R1	R1	1	3	1	1	6	100	abies	magnifica		t	3	TREE_TALLY	matched	Abies magnifica 	1
7	65A14	13	A	A	A	7	3	0	0	10	25	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
7	65A14	15	M	M	M	2	0	0	0	2	20	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
7	65A14	14	B	B	B	1	0	0	0	1	0	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
8	65A15	16	M	M	M	20	0	0	0	20	20	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
8	65A15	17	A	A	A	9	0	0	0	9	25	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
9	65A16	18	Df	D	D	2	6	5	0	13	65	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
9	65A16	19	A	A	A	10	1	0	0	11	25	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
9	65A16	20	B	B	B	10	0	0	0	10	30	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
9	65A16	21	V	V	V	8	2	0	0	10	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
9	65A16	22	M	M	M	7	0	0	0	7	25	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
9	65A16	23	L	L	L	3	0	0	0	3	30	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
10	65A17	24	G	G	G	53	3	0	0	56	30	quercus	garryana		t	3	TREE_TALLY	matched	Quercus garryana 	1
10	65A17	25	B	B	B	8	3	0	0	11	35	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
10	65A17	26	M2	M2	M2	1	1	0	0	2	35	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
12	65A19	27	L	L	L	32	0	0	0	32	30	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
